head	relation	tail
Cobalt Group	USES	T1027
Cobalt Group	USES	T1107
Cobalt Group	USES	T1053
Cobalt Group	USES	T1203
Cobalt Group	USES	T1088
Cobalt Group	USES	T1050
Cobalt Group	USES	T1108
Cobalt Group	USES	T1173
Cobalt Group	USES	T1068
Cobalt Group	USES	T1219
Cobalt Group	USES	T1055
Cobalt Group	USES	T1046
Cobalt Group	USES	T1063
Cobalt Group	USES	T1032
Cobalt Group	USES	T1218
Cobalt Group	USES	T1191
Cobalt Group	USES	T1220
Threat Group-3390	USES	T1078
Threat Group-3390	USES	T1133
Threat Group-3390	USES	T1189
Threat Group-3390	USES	T1028
Threat Group-3390	USES	T1105
Threat Group-3390	USES	T1119
Threat Group-3390	USES	T1087
Threat Group-3390	USES	T1003
Threat Group-3390	USES	T1059
Threat Group-3390	USES	T1005
Threat Group-3390	USES	T1002
Threat Group-3390	USES	T1016
Threat Group-3390	USES	T1049
Threat Group-3390	USES	T1073
Threat Group-3390	USES	T1071
Threat Group-3390	USES	T1043
Threat Group-3390	USES	T1060
Threat Group-3390	USES	T1112
Threat Group-3390	USES	T1140
Threat Group-3390	USES	T1086
Threat Group-3390	USES	T1027
Threat Group-3390	USES	T1107
Threat Group-3390	USES	T1053
Threat Group-3390	USES	T1088
Threat Group-3390	USES	T1047
Threat Group-3390	USES	T1018
Threat Group-3390	USES	T1056
Threat Group-3390	USES	T1074
Threat Group-3390	USES	T1050
Threat Group-3390	USES	T1108
Threat Group-3390	USES	T1068
Threat Group-3390	USES	T1030
Threat Group-3390	USES	T1038
Threat Group-3390	USES	T1012
Threat Group-3390	USES	T1055
Threat Group-3390	USES	T1089
Threat Group-3390	USES	T1046
Threat Group-3390	USES	T1126
Threat Group-3390	USES	T1022
Molerats	USES	T1057
Molerats	USES	T1003
Molerats	USES	T1116
TEMP.Veles	USES	T1078
TEMP.Veles	USES	T1133
TEMP.Veles	USES	T1021
TEMP.Veles	USES	T1076
TEMP.Veles	USES	T1311
TEMP.Veles	USES	T1329
TEMP.Veles	USES	T1003
TEMP.Veles	USES	T1036
TEMP.Veles	USES	T1043
TEMP.Veles	USES	T1086
TEMP.Veles	USES	T1107
TEMP.Veles	USES	T1053
TEMP.Veles	USES	T1074
TEMP.Veles	USES	T1065
TEMP.Veles	USES	T1066
TEMP.Veles	USES	T1099
TEMP.Veles	USES	T1100
TEMP.Veles	USES	T1183
APT16	USES	T1272
APT16	USES	T1334
RTM	USES	T1102
PittyTiger	USES	T1078
APT18	USES	T1078
APT18	USES	T1133
APT18	USES	T1105
APT18	USES	T1059
APT18	USES	T1082
APT18	USES	T1071
APT18	USES	T1043
APT18	USES	T1060
APT18	USES	T1027
APT18	USES	T1083
APT18	USES	T1107
APT18	USES	T1053
Naikon	USES	T1016
Naikon	USES	T1063
Moafee	USES	T1009
Magic Hound	USES	T1194
Magic Hound	USES	T1192
Magic Hound	USES	T1193
Magic Hound	USES	T1105
Magic Hound	USES	T1057
Magic Hound	USES	T1114
Magic Hound	USES	T1003
Magic Hound	USES	T1059
Magic Hound	USES	T1064
Magic Hound	USES	T1002
Magic Hound	USES	T1016
Magic Hound	USES	T1082
Magic Hound	USES	T1071
Magic Hound	USES	T1043
Magic Hound	USES	T1060
Magic Hound	USES	T1033
Magic Hound	USES	T1086
Magic Hound	USES	T1204
Magic Hound	USES	T1027
Magic Hound	USES	T1083
Magic Hound	USES	T1107
Magic Hound	USES	T1056
Magic Hound	USES	T1065
Magic Hound	USES	T1113
Magic Hound	USES	T1102
FIN7	USES	T1193
FIN7	USES	T1105
FIN7	USES	T1059
FIN7	USES	T1036
FIN7	USES	T1064
FIN7	USES	T1071
FIN7	USES	T1043
FIN7	USES	T1060
FIN7	USES	T1086
FIN7	USES	T1204
FIN7	USES	T1027
FIN7	USES	T1053
FIN7	USES	T1023
FIN7	USES	T1050
FIN7	USES	T1173
FIN7	USES	T1113
FIN7	USES	T1116
FIN7	USES	T1102
FIN7	USES	T1170
FIN7	USES	T1138
FIN7	USES	T1125
FIN7	USES	T1497
FIN6	USES	T1078
FIN6	USES	T1076
FIN6	USES	T1119
FIN6	USES	T1087
FIN6	USES	T1003
FIN6	USES	T1036
FIN6	USES	T1064
FIN6	USES	T1002
FIN6	USES	T1071
FIN6	USES	T1060
FIN6	USES	T1086
FIN6	USES	T1053
FIN6	USES	T1018
FIN6	USES	T1074
FIN6	USES	T1069
FIN6	USES	T1068
FIN6	USES	T1046
FIN6	USES	T1022
FIN6	USES	T1102
FIN6	USES	T1032
FIN6	USES	T1035
Leviathan	USES	T1078
Leviathan	USES	T1192
Leviathan	USES	T1193
Leviathan	USES	T1021
Leviathan	USES	T1076
Leviathan	USES	T1105
Leviathan	USES	T1003
Leviathan	USES	T1059
Leviathan	USES	T1064
Leviathan	USES	T1117
Leviathan	USES	T1060
Leviathan	USES	T1140
Leviathan	USES	T1086
Leviathan	USES	T1204
Leviathan	USES	T1027
Leviathan	USES	T1203
Leviathan	USES	T1084
Leviathan	USES	T1047
Leviathan	USES	T1023
Leviathan	USES	T1074
Leviathan	USES	T1116
Leviathan	USES	T1100
Leviathan	USES	T1102
Leviathan	USES	T1197
Leviathan	USES	T1009
Tropic Trooper	USES	T1193
Tropic Trooper	USES	T1057
Tropic Trooper	USES	T1043
Tropic Trooper	USES	T1140
Tropic Trooper	USES	T1027
Tropic Trooper	USES	T1203
Tropic Trooper	USES	T1221
Tropic Trooper	USES	T1158
Tropic Trooper	USES	T1055
Tropic Trooper	USES	T1004
Tropic Trooper	USES	T1197
Tropic Trooper	USES	T1063
Tropic Trooper	USES	T1032
APT37	USES	T1193
APT37	USES	T1189
APT37	USES	T1105
APT37	USES	T1057
APT37	USES	T1003
APT37	USES	T1059
APT37	USES	T1005
APT37	USES	T1064
APT37	USES	T1082
APT37	USES	T1071
APT37	USES	T1043
APT37	USES	T1060
APT37	USES	T1033
APT37	USES	T1204
APT37	USES	T1027
APT37	USES	T1203
APT37	USES	T1173
APT37	USES	T1116
APT37	USES	T1055
APT37	USES	T1102
APT37	USES	T1094
APT37	USES	T1487
APT37	USES	T1106
APT37	USES	T1123
Thrip	USES	T1086
Thrip	USES	T1219
Thrip	USES	T1048
Turla	USES	T1192
Turla	USES	T1193
Turla	USES	T1077
Turla	USES	T1105
Turla	USES	T1057
Turla	USES	T1007
Turla	USES	T1016
Turla	USES	T1049
Turla	USES	T1082
Turla	USES	T1071
Turla	USES	T1060
Turla	USES	T1086
Turla	USES	T1204
Turla	USES	T1083
Turla	USES	T1018
Turla	USES	T1110
Turla	USES	T1066
Turla	USES	T1012
Turla	USES	T1055
Turla	USES	T1102
Turla	USES	T1124
Turla	USES	T1004
Elderwood	USES	T1195
Elderwood	USES	T1192
Elderwood	USES	T1193
Elderwood	USES	T1189
Elderwood	USES	T1105
Elderwood	USES	T1204
Elderwood	USES	T1027
Elderwood	USES	T1203
Elderwood	USES	T1045
SilverTerrier	USES	T1071
Orangeworm	USES	T1077
Orangeworm	USES	T1071
APT38	USES	T1189
APT38	USES	T1105
APT38	USES	T1057
APT38	USES	T1059
APT38	USES	T1071
APT38	USES	T1112
APT38	USES	T1107
APT38	USES	T1070
APT38	USES	T1045
APT38	USES	T1056
APT38	USES	T1487
APT38	USES	T1485
APT38	USES	T1115
APT38	USES	T1013
APT38	USES	T1486
APT38	USES	T1494
APT38	USES	T1493
APT38	USES	T1492
Patchwork	USES	T1192
Patchwork	USES	T1193
Patchwork	USES	T1189
Patchwork	USES	T1076
Patchwork	USES	T1105
Patchwork	USES	T1119
Patchwork	USES	T1003
Patchwork	USES	T1059
Patchwork	USES	T1005
Patchwork	USES	T1036
Patchwork	USES	T1064
Patchwork	USES	T1073
Patchwork	USES	T1082
Patchwork	USES	T1132
Patchwork	USES	T1060
Patchwork	USES	T1112
Patchwork	USES	T1033
Patchwork	USES	T1086
Patchwork	USES	T1204
Patchwork	USES	T1027
Patchwork	USES	T1083
Patchwork	USES	T1107
Patchwork	USES	T1053
Patchwork	USES	T1203
Patchwork	USES	T1088
Patchwork	USES	T1045
Patchwork	USES	T1074
Patchwork	USES	T1066
Patchwork	USES	T1173
Patchwork	USES	T1022
Patchwork	USES	T1102
Patchwork	USES	T1063
Patchwork	USES	T1093
Patchwork	USES	T1009
Putter Panda	USES	T1060
Putter Panda	USES	T1027
Putter Panda	USES	T1055
Putter Panda	USES	T1089
FIN5	USES	T1078
FIN5	USES	T1133
FIN5	USES	T1119
FIN5	USES	T1003
FIN5	USES	T1064
FIN5	USES	T1107
FIN5	USES	T1070
FIN5	USES	T1018
FIN5	USES	T1074
FIN5	USES	T1108
Strider	USES	T1003
Strider	USES	T1090
Scarlet Mimic	USES	T1036
OilRig	USES	T1078
OilRig	USES	T1192
OilRig	USES	T1193
OilRig	USES	T1133
OilRig	USES	T1021
OilRig	USES	T1076
OilRig	USES	T1105
OilRig	USES	T1119
OilRig	USES	T1057
OilRig	USES	T1087
OilRig	USES	T1003
OilRig	USES	T1059
OilRig	USES	T1007
OilRig	USES	T1064
OilRig	USES	T1016
OilRig	USES	T1049
OilRig	USES	T1082
OilRig	USES	T1071
OilRig	USES	T1033
OilRig	USES	T1140
OilRig	USES	T1086
OilRig	USES	T1204
OilRig	USES	T1027
OilRig	USES	T1107
OilRig	USES	T1053
OilRig	USES	T1047
OilRig	USES	T1056
OilRig	USES	T1110
OilRig	USES	T1069
OilRig	USES	T1066
OilRig	USES	T1108
OilRig	USES	T1113
OilRig	USES	T1100
OilRig	USES	T1048
OilRig	USES	T1012
OilRig	USES	T1046
OilRig	USES	T1032
OilRig	USES	T1094
OilRig	USES	T1223
OilRig	USES	T1201
OilRig	USES	T1008
FIN8	USES	T1078
FIN8	USES	T1192
FIN8	USES	T1193
FIN8	USES	T1077
FIN8	USES	T1076
FIN8	USES	T1105
FIN8	USES	T1003
FIN8	USES	T1059
FIN8	USES	T1064
FIN8	USES	T1002
FIN8	USES	T1043
FIN8	USES	T1112
FIN8	USES	T1086
FIN8	USES	T1204
FIN8	USES	T1027
FIN8	USES	T1107
FIN8	USES	T1053
FIN8	USES	T1070
FIN8	USES	T1047
FIN8	USES	T1018
FIN8	USES	T1074
FIN8	USES	T1068
FIN8	USES	T1048
FIN8	USES	T1063
FIN8	USES	T1032
Dragonfly 2.0	USES	T1078
Dragonfly 2.0	USES	T1192
Dragonfly 2.0	USES	T1193
Dragonfly 2.0	USES	T1133
Dragonfly 2.0	USES	T1189
Dragonfly 2.0	USES	T1076
Dragonfly 2.0	USES	T1105
Dragonfly 2.0	USES	T1135
Dragonfly 2.0	USES	T1087
Dragonfly 2.0	USES	T1114
Dragonfly 2.0	USES	T1003
Dragonfly 2.0	USES	T1059
Dragonfly 2.0	USES	T1005
Dragonfly 2.0	USES	T1036
Dragonfly 2.0	USES	T1064
Dragonfly 2.0	USES	T1002
Dragonfly 2.0	USES	T1016
Dragonfly 2.0	USES	T1071
Dragonfly 2.0	USES	T1043
Dragonfly 2.0	USES	T1060
Dragonfly 2.0	USES	T1112
Dragonfly 2.0	USES	T1033
Dragonfly 2.0	USES	T1086
Dragonfly 2.0	USES	T1204
Dragonfly 2.0	USES	T1083
Dragonfly 2.0	USES	T1107
Dragonfly 2.0	USES	T1053
Dragonfly 2.0	USES	T1070
Dragonfly 2.0	USES	T1023
Dragonfly 2.0	USES	T1098
Dragonfly 2.0	USES	T1136
Dragonfly 2.0	USES	T1018
Dragonfly 2.0	USES	T1074
Dragonfly 2.0	USES	T1110
Dragonfly 2.0	USES	T1069
Dragonfly 2.0	USES	T1221
Dragonfly 2.0	USES	T1113
Dragonfly 2.0	USES	T1100
Dragonfly 2.0	USES	T1012
Dragonfly 2.0	USES	T1089
Dragonfly 2.0	USES	T1187
APT33	USES	T1078
APT33	USES	T1192
APT33	USES	T1105
APT33	USES	T1003
APT33	USES	T1002
APT33	USES	T1071
APT33	USES	T1132
APT33	USES	T1043
APT33	USES	T1060
APT33	USES	T1086
APT33	USES	T1204
APT33	USES	T1027
APT33	USES	T1053
APT33	USES	T1203
APT33	USES	T1110
APT33	USES	T1065
APT33	USES	T1068
APT33	USES	T1040
APT33	USES	T1048
APT33	USES	T1032
